stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:810270004:LOC,ARCHIPEL,ARCHIPEL,,43.622528,2.259509,,,0,,,0,,
zenbus:StopPoint:SP:849270014:LOC,GOURJADE/R,GOURJADE,,43.621688,2.249717,,,0,,,0,,
zenbus:StopPoint:SP:834510005:LOC,ROCHER DE LUNEL/R,ROCHER DE LUNEL,,43.619464,2.246863,,,0,,,0,,
zenbus:StopPoint:SP:856850005:LOC,ROQUECOURBE/R,ROQUECOURBE,,43.61402,2.244061,,,0,,,0,,
zenbus:StopPoint:SP:849350005:LOC,AGOUT/R,AGOUT,,43.611665,2.244518,,,0,,,0,,
zenbus:StopPoint:SP:849340005:LOC,ROUCAYROL/R,ROUCAYROL,,43.609785,2.24319,,,0,,,0,,
zenbus:StopPoint:SP:834480005:LOC,MAHUZIES/R,MAHUZIES,,43.608364,2.24223,,,0,,,0,,
zenbus:StopPoint:SP:854950004:LOC,PETIT TRAIN/R,PETIT TRAIN,,43.597362,2.228813,,,0,,,0,,
zenbus:StopPoint:SP:831810005:LOC,MJC,MJC,,43.59094,2.253958,,,0,,,0,,
zenbus:StopPoint:SP:826710003:LOC,GARE,GARE,,43.599337,2.232482,,,0,,,0,,
zenbus:StopPoint:SP:826680004:LOC,SIZAIRE,SIZAIRE,,43.600729,2.235822,,,0,,,0,,
zenbus:StopPoint:SP:824780004:LOC,JUIN,JUIN,,43.601602,2.240013,,,0,,,0,,
zenbus:StopPoint:SP:853080005:LOC,BERNADOU,BERNADOU,,43.582989,2.255627,,,0,,,0,,
zenbus:StopPoint:SP:851150004:LOC,BARBUSSE,BARBUSSE,,43.58324,2.252795,,,0,,,0,,
zenbus:StopPoint:SP:814590009:LOC,LAMEILHE,LAMEILHE,,43.594206,2.242847,,,0,,,0,,
zenbus:StopPoint:SP:849270018:LOC,PLAN D'EAU,PLAN D'EAU,,43.625659,2.259907,,,0,,,0,,
zenbus:StopPoint:SP:831810009:LOC,TENNIS,TENNIS,,43.627689,2.261958,,,0,,,0,,
